縣市,鄉鎮市區,路口,件數,死亡人數,受傷人數,補助
臺北市,萬華區,西寧南路、洛陽街,4,0,4,有
高雄市,三民區,九如一路、永年街,4,0,4,有
新北市,三重區,自強路四段、仁愛街,4,0,4,有
新北市,泰山區,明志路三段、工專路,4,0,4,有
新北市,淡水區,新市一路三段101巷、新市一路三段,4,0,4,無
臺北市,中正區,仁愛路一段、林森南路,4,0,4,有
新北市,板橋區,金門街、溪城路,4,0,4,有
臺北市,大安區,信義路四段、安和路一段,4,0,4,有
新北市,板橋區,國光路、公館街,4,0,4,有
臺中市,西屯區,文心路三段、四川路,4,0,4,有
桃園市,八德區,中山路、中山路1496巷,4,0,4,無
桃園市,桃園區,中山路、民生路,4,0,4,有
桃園市,蘆竹區,中山路、仁愛路二段,4,0,4,有
高雄市,左營區,自由二路、裕誠路,4,0,4,有
新北市,汐止區,龍安路28巷、連興街,4,0,4,無
臺中市,清水區,中山路、文化路,4,0,4,有
臺北市,大安區,復興南路二段、瑞安街23巷,4,0,4,有
新北市,泰山區,明志路一段、美寧街,4,0,4,無
高雄市,新興區,中正三路、復興一路,4,0,4,有
新北市,三重區,環河南路、重安街,4,0,4,無
新北市,三峽區,學成路、大學路,4,0,4,有
新北市,新店區,中興路一段、檳榔路,4,0,4,無
新北市,新莊區,中原路、思源路,4,0,4,無
臺北市,中山區,松江路、德惠街,4,0,4,有
臺北市,中山區,新生北路三段、濱江街,4,0,4,有
臺北市,文山區,木柵路一段、木柵路一段191巷,4,0,4,有
桃園市,八德區,介壽路二段、和平路,4,0,4,無
桃園市,桃園區,三民路二段、中央街,4,0,4,無
新北市,三重區,自強路五段、五華街,4,0,4,無
新北市,三重區,重新路五段、中興南街,4,0,4,無
新北市,泰山區,明志路、楓江路,4,0,4,有
新北市,新莊區,思源路、中原東路,4,0,4,無
臺中市,清水區,中華路、五權路,4,0,4,無
臺北市,中正區,和平西路一段、南昌路二段,4,0,4,有
臺中市,西屯區,西屯路三段、玉門路,4,0,4,有
新北市,三重區,正義北路、大榮街,3,1,3,無
臺北市,文山區,景隆街、景隆街36巷,3,1,3,有
新北市,中和區,錦和路、圓通路,3,1,3,無
桃園市,楊梅區,楊新路、大成路,3,1,3,有
臺中市,東勢區,東關路七段、正二街,3,1,3,無
臺中市,西屯區,西屯路二段、河南路二段,3,1,3,有
新北市,土城區,中央路三段、永寧路,3,1,3,無
高雄市,三民區,十全一路、自由一路,3,1,3,有
臺北市,大同區,延平北路四段、民族西路,3,1,3,有
臺北市,信義區,永吉路、永吉路326巷,3,1,3,有
新北市,土城區,金城路二段、裕民路,3,1,3,無
臺中市,北區,學士路、英才路,2,2,2,無
臺中市,潭子區,潭興路二段、復興路二段,3,0,5,有
臺北市,大安區,仁愛路四段、安和路一段,3,0,5,有
臺北市,文山區,興隆路二段、興隆路二段220巷,3,0,5,有
臺中市,西區,臺灣大道二段、中興街,3,0,5,有
臺中市,南區,高工路、南和路,3,0,5,有
臺中市,龍井區,臺灣大道五段、遊園北路,3,0,5,無
新北市,汐止區,汐萬路一段、中正路,3,0,5,有
桃園市,八德區,介壽路一段、和平路,3,0,5,無
桃園市,龜山區,自強南路、明德路54巷,3,0,5,有
桃園市,桃園區,介壽路、南豐三街,3,0,5,無
新北市,蘆洲區,中正路、民族路,3,0,5,無
新北市,永和區,中正路、民有街,3,0,5,無
